femminile_singolare;maschile_singolare;femminile_plurale;maschile_plurale
Allieva;Allievo;Allieve;Allievi
Alunna;Alunno;Alunne;Alunni
Ammessa;Ammesso;Ammesse;Ammessi
Appaltatrice;Appaltatore;Appaltatrici;Appaltatori
Archeologa;Archeologo;Archeologhe;Archeologi
Architetta;Architetto;Architette;Architetti
Archivista;Archivista;Archiviste;Archivisti
Assegnista;Assegnista;Assegniste;Assegnisti
Assistente;Assistente;Assistenti;Assistenti
Astronoma;Astronomo;Astronome;Astronomi
Avvocata;Avvocato;Avvocate;Avvocati
Bancaria;Bancario;Bancarie;Bancari
Bibliotecaria;Bibliotecario;Bibliotecarie;Bibliotecari
Biologa;Biologo;Biologhe;Biologi
Biotecnologa;Biotecnologo;Biotecnologhe;Biotecnologi
Borsista;Borsista;Borsiste;Borsisti
Candidata;Candidato;Candidate;Candidati
Caposervizio;Caposervizio;Caposervizio;Caposervizio
Cardiologa;Cardiologo;Cardiologhe;Cardiologi
Chirurga;Chirurgo;Chirurghe;Chirurghi
Cittadina;Cittadino;Cittadine;Cittadini
Collaboratrice;Collaboratore;Collaboratrici;Collaboratori
Collaudatrice;Collaudatore;Collaudatrici;Collaudatori
Collega;Collega;Colleghe;Colleghi
Commercialista;Commercialista;Commercialiste;Commercialisti
Componente;Componente;Componenti;Componenti
Comunicatrice;Comunicatore;Comunicatrici;Comunicatori
Consulente;Consulente;Consulenti;Consulenti
Contrattista;Contrattista;Contrattiste;Contrattisti
Coordinatrice;Coordinatore;Coordinatrici;Coordinatori
Correlatrice;Correlatore;Correlatrici;Correlatori
Corsista;Corsista;Corsiste;Corsisti
Cultrice;Cultore;Cultrici;Cultori
Curatrice;Curatore;Curatrici;Curatori
Custode;Custode;Custodi;Custodi
Datrice;Datore;Datrici;Datori
Delegata;Delegato;Delegate;Delegati
Dichiarante;Dichiarante;Dichiaranti;Dichiaranti
Dipendente;Dipendente;Dipendenti;Dipendenti
Direttrice;Direttore;Direttrici;Direttori
Dirigente;Dirigente;Dirigenti;Dirigenti
Docente;Docente;Docenti;Docenti
Dottoranda;Dottorando;Dottorande;Dottorandi
Dottoressa;Dottore;Dottoresse;Dottori
Economista;Economista;Economiste;Economisti
Editrice;Editore;Editrici;Editori
Educatrice;Educatore;Educatrici;Educatori
Esperta;Esperto;Esperte;Esperti
Farmacista;Farmacista;Farmaciste;Farmacisti
Figlia;Figlio;Figlie;Figli
Filologa;Filologo;Filologhe;Filologi
Filosofa;Filosofo;Filosofe;Filosofi
Fisica;Fisico;Fisiche;Fisici
Fisioterapista;Fisioterapista;Fisioterapiste;Fisioterapisti
Sorella;Fratello;Sorelle;Fratelli
Fruitrice;Fruitore;Fruitrici;Fruitori
Funzionaria;Funzionario;Funzionarie;Funzionari
Geografa;Geografo;Geografe;Geografi
Geologa;Geologo;Geologhe;Geologi
Giornalista;Giornalista;Giornaliste;Giornalisti
Giovane;Giovane;Giovani;Giovani
Giudice;Giudice;Giudici;Giudici
Guardia;Guardia;Guardie;Guardie
Guardiana;Guardiano;Guardiane;Guardiani
Idonea;Idoneo;Idonee;Idonei
Immatricolata;Immatricolato;Immatricolate;Immatricolati
Impiegata;Impiegato;Impiegate;Impiegati
Imprenditrice;Imprenditore;Imprenditrici;Imprenditori
Infermiera;Infermiere;Infermiere;Infermieri
Ingegnera;Ingegnere;Ingegnere;Ingegneri
Insegnante;Insegnante;Insegnanti;Insegnanti
Interessata;Interessato;Interessate;Interessati
Interprete;Interprete;Interpreti;Interpreti
Iscritta;Iscritto;Iscritte;Iscritti
Laureanda;Laureando;Laureande;Laureandi
Laureata;Laureato;Laureate;Laureati
Lavoratrice;Lavoratore;Lavoratrici;Lavoratori
Lettrice;Lettore;Lettrici;Lettori
Linguista;Linguista;Linguiste;Linguisti
Magistrata;Magistrato;Magistrate;Magistrati
Matematica;Matematico;Matematiche;Matematici
Mediatrice;Mediatore;Mediatrici;Mediatori
Medica;Medico;Mediche;Medici
Militare;Militare;Militari;Militari
Ministra;Ministro;Ministre;Ministri
Moderatrice;Moderatore;Moderatrici;Moderatori
Musicista;Musicista;Musiciste;Musicisti
Neodiplomata;Neodiplomato;Neodiplomate;Neodiplomati
Notaia;Notaio;Notaie;Notai
Operaia;Operaio;Operaie;Operai
Operatrice;Operatore;Operatrici;Operatori
Ostetrica;Ostetrico;Ostetriche;Ostetrici
Ottica;Ottico;Ottiche;Ottici
Pedagogista;Pedagogista;Pedagogiste;Pedagogisti
Pediatra;Pediatra;Pediatre;Pediatri
Pianificatrice;Pianificatore;Pianificatrici;Pianificatori
Poetessa;Poeta;Poetesse;Poeti
Portiera;Portiere;Portiere;Portieri
Preimmatricolata;Preimmatricolato;Preimmatricolate;Preimmatricolati
Presentatrice;Presentatore;Presentatrici;Presentatori
Preside;Preside;Presidi;Presidi
Presidente;Presidente;Presidenti;Presidenti
Primaria;Primario;Primarie;Primari
Prof.ssa;Prof.;Prof.sse;Proff.
Professionista;Professionista;Professioniste;Professionisti
Professoressa;Professore;Professoresse;Professori
Programmatrice;Programmatore;Programmatrici;Programmatori
Prorettrice;Prorettore;Prorettrici;Prorettori
Psicologa;Psicologo;Psicologhe;Psicologi
Psicoterapeuta;Psicoterapeuta;Psicoterapeute;Psicoterapeuti
Rappresentante;Rappresentante;Rappresentanti;Rappresentanti
Redattrice;Redattore;Redattrici;Redattori
Referente;Referente;Referenti;Referenti
Relatrice;Relatore;Relatrici;Relatori
Responsabile;Responsabile;Responsabili;Responsabili
Rettrice;Rettore;Rettrici;Rettori
Revisora;Revisore;Revisore;Revisori
Ricercatrice;Ricercatore;Ricercatrici;Ricercatori
Richiedente;Richiedente;Richiedenti;Richiedenti
Scienziata;Scienziato;Scienziate;Scienziati
Scrittrice;Scrittore;Scrittrici;Scrittori
Segretaria;Segretario;Segretarie;Segretari
Selezionata;Selezionato;Selezionate;Selezionati
Sociologa;Sociologo;Sociologhe;Sociologi
Specialista;Specialista;Specialiste;Specialisti
Specializzanda;Specializzando;Specializzande;Specializzandi
Statistica;Statistico;Statistiche;Statistici
Storica;Storico;Storiche;Storici
Studentessa;Studente;Studentesse;Studenti
Studiosa;Studioso;Studiose;Studiosi
Subappaltatrice;Subappaltatore;Subappaltatrici;Subappaltatori
Suocera;Suocero;Suocere;Suoceri
Supervisora;Supervisore;Supervisore;Supervisori
Tecnica;Tecnico;Tecniche;Tecnici
Tesista;Tesista;Tesiste;Tesisti
Tesoriera;Tesoriere;Tesoriere;Tesorieri
Tirocinante;Tirocinante;Tirocinanti;Tirocinanti
Titolare;Titolare;Titolari;Titolari
Traduttrice;Traduttore;Traduttrici;Traduttori
Veterinaria;Veterinario;Veterinarie;Veterinari
Vicaria;Vicario;Vicarie;Vicari
Vigile;Vigile;Vigili;Vigili
Vincitrice;Vincitore;Vincitrici;Vincitori
